id_tema,id_estudiante,titulo,linea_investigacion,descripcion,fecha_propuesta,estado,observaciones
138,140,Propuesta de intervención académica aplicada a Psicología,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-03-27,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
139,79,Estudio de mejora de procesos académicos en Ingeniería Agroindustrial,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-19,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
140,54,Evaluación de herramientas digitales para la gestión de titulación en Mercadotecnia,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-02-25,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
141,203,Análisis del proceso académico en la carrera de Ingeniería Civil,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-04-11,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
142,73,Propuesta de intervención académica aplicada a Electricidad,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-04-06,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
143,91,Análisis del proceso académico en la carrera de Enfermería,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-23,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
144,53,Estudio de mejora de procesos académicos en Administración de Empresas,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-04-08,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
145,179,Propuesta de intervención académica aplicada a Enfermería,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-30,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
146,122,Sistema de seguimiento para trabajos de titulación en Agronegocios,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-25,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
147,92,Sistema de seguimiento para trabajos de titulación en Fisioterapia,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-02-18,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
148,193,Evaluación de herramientas digitales para la gestión de titulación en Educación Especial,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-12,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
149,65,Sistema de seguimiento para trabajos de titulación en Pedagogía de la Lengua y la Literatura,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-20,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
150,85,Estudio de mejora de procesos académicos en Derecho,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-03-31,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
151,83,Estudio de mejora de procesos académicos en Ingeniería en Sistema,Salud pública y bienestar,Tema académico registrado para el proceso de titulación.,2026-04-09,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
152,118,Propuesta de intervención académica aplicada a Arquitectura,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-04-01,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
153,205,Estudio de mejora de procesos académicos en Electricidad,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-03-18,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
154,132,Análisis del proceso académico en la carrera de Comunicación,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-02-04,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
155,93,Evaluación de herramientas digitales para la gestión de titulación en Fonoaudiología,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-15,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
156,2,Sistema de seguimiento para trabajos de titulación en Odontología,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-04-09,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
157,72,Propuesta de intervención académica aplicada a Ingeniería Marítima,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-12,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
158,161,Estudio de mejora de procesos académicos en Electricidad,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-02-16,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
159,156,Estudio de mejora de procesos académicos en Hospitalidad y Hotelería,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-02-16,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
160,1,Evaluación de herramientas digitales para la gestión de titulación en Medicina,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-27,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
161,11,Evaluación de herramientas digitales para la gestión de titulación en Contabilidad y Auditoría,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-03-30,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
162,177,Propuesta de intervención académica aplicada a Medicina,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-04-03,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
163,107,Análisis del proceso académico en la carrera de Educación Básica,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-03-12,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
164,135,Sistema de seguimiento para trabajos de titulación en Enfermería,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-03-01,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
165,137,Estudio de mejora de procesos académicos en Fonoaudiología,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-20,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
166,202,Propuesta de intervención académica aplicada a Sociología,Gestión empresarial y comercio,Tema académico registrado para el proceso de titulación.,2026-04-03,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
167,115,Sistema de seguimiento para trabajos de titulación en Ingeniería Civil,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-30,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
168,113,Análisis del proceso académico en la carrera de Artes Plásticas,"Ingeniería, industria y construcción",Tema académico registrado para el proceso de titulación.,2026-03-10,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
169,18,Evaluación de herramientas digitales para la gestión de titulación en Psicología Educativa,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-26,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
170,125,Evaluación de herramientas digitales para la gestión de titulación en Ingeniería en Tecnologías de la Información,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-02-21,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
